Date,Sales
2018-04-30,553
2018-05-01,404
2018-05-02,1070
2018-05-03,952
2018-05-04,930
2018-05-05,833
2018-05-06,690
2018-05-07,1056
2018-05-08,316
2018-05-09,627
2018-05-10,424
2018-05-11,838
2018-05-12,1195
2018-05-13,672
2018-05-14,1087
2018-05-15,659
2018-05-16,1186
2018-05-17,1127
2018-05-18,701
2018-05-19,784
2018-05-20,684
2018-05-21,1049
2018-05-22,756
2018-05-23,876
2018-05-24,1080
2018-05-25,391
2018-05-26,745
2018-05-27,741
2018-05-28,1017
2018-05-29,807
2018-05-30,758
2018-05-31,493
2018-06-01,786
2018-06-02,770
2018-06-03,1148
2018-06-04,592
2018-06-05,690
2018-06-06,1148
2018-06-07,1000
2018-06-08,1123
2018-06-09,798
2018-06-10,329
2018-06-11,240
2018-06-12,752
2018-06-13,415
2018-06-14,923
2018-06-15,547
2018-06-16,1162
2018-06-17,1100
2018-06-18,823
2018-06-19,436
2018-06-20,908
2018-06-21,401
2018-06-22,337
2018-06-23,560
2018-06-24,852
2018-06-25,474
2018-06-26,463
2018-06-27,946
2018-06-28,397
2018-06-29,1024
2018-06-30,840
2018-07-01,664
2018-07-02,1362
2018-07-03,2170
2018-07-04,729
2018-07-05,1144
2018-07-06,1438
2018-07-07,1594
2018-07-08,1881
2018-07-09,1053
2018-07-10,669
2018-07-11,2206
2018-07-12,1744
2018-07-13,1182
2018-07-14,1842
2018-07-15,1275
2018-07-16,955
2018-07-17,1756
2018-07-18,1410
2018-07-19,1158
2018-07-20,675
2018-07-21,843
2018-07-22,664
2018-07-23,967
2018-07-24,1384
2018-07-25,1974
2018-07-26,1770
2018-07-27,451
2018-07-28,1794
2018-07-29,829
2018-07-30,1128
2018-07-31,2040
2018-08-01,2224
2018-08-02,1971
2018-08-03,462
2018-08-04,2133
2018-08-05,1672
2018-08-06,760
2018-08-07,2181
2018-08-08,1054
2018-08-09,676
2018-08-10,529
2018-08-11,2164
2018-08-12,1390
2018-08-13,1329
2018-08-14,604
2018-08-15,829
2018-08-16,2152
2018-08-17,1213
2018-08-18,597
2018-08-19,678
2018-08-20,1819
2018-08-21,1765
2018-08-22,955
2018-08-23,1681
2018-08-24,2229
2018-08-25,1884
2018-08-26,690
2018-08-27,1650
2018-08-28,1045
2018-08-29,1672
2018-08-30,2187
2018-08-31,1050
2018-09-01,1408
2018-09-02,2034
2018-09-03,1480
2018-09-04,1138
2018-09-05,1881
2018-09-06,1153
2018-09-07,2017
2018-09-08,1573
2018-09-09,505
2018-09-10,793
2018-09-11,1293
2018-09-12,1105
2018-09-13,489
2018-09-14,787
2018-09-15,1645
2018-09-16,874
2018-09-17,1767
2018-09-18,1888
2018-09-19,1128
2018-09-20,1978
2018-09-21,1672
2018-09-22,1437
2018-09-23,1269
2018-09-24,2058
2018-09-25,474
2018-09-26,2242
2018-09-27,685
2018-09-28,1164
2018-09-29,2053
2018-09-30,1225
2018-10-01,238
2018-10-02,816
2018-10-03,347
2018-10-04,477
2018-10-05,360
2018-10-06,288
2018-10-07,543
2018-10-08,853
2018-10-09,599
2018-10-10,775
2018-10-11,863
2018-10-12,294
2018-10-13,331
2018-10-14,768
2018-10-15,736
2018-10-16,890
2018-10-17,256
2018-10-18,190
2018-10-19,519
2018-10-20,521
2018-10-21,591
2018-10-22,555
2018-10-23,691
2018-10-24,756
2018-10-25,272
2018-10-26,473
2018-10-27,650
2018-10-28,856
2018-10-29,327
2018-10-30,899
2018-10-31,817
2018-11-01,634
2018-11-02,502
2018-11-03,732
2018-11-04,424
2018-11-05,494
2018-11-06,676
2018-11-07,721
2018-11-08,201
2018-11-09,590
2018-11-10,191
2018-11-11,372
2018-11-12,486
2018-11-13,419
2018-11-14,571
2018-11-15,762
2018-11-16,462
2018-11-17,879
2018-11-18,849
2018-11-19,679
2018-11-20,615
2018-11-21,691
2018-11-22,210
2018-11-23,524
2018-11-24,868
2018-11-25,269
2018-11-26,367
2018-11-27,521
2018-11-28,362
2018-11-29,588
2018-11-30,682
2018-12-01,826
2018-12-02,781
2018-12-03,445
2018-12-04,547
2018-12-05,775
2018-12-06,337
2018-12-07,825
2018-12-08,781
2018-12-09,182
2018-12-10,855
2018-12-11,643
2018-12-12,705
2018-12-13,774
2018-12-14,709
2018-12-15,207
2018-12-16,699
2018-12-17,673
2018-12-18,741
2018-12-19,573
2018-12-20,340
2018-12-21,401
2018-12-22,561
2018-12-23,857
2018-12-24,573
2018-12-25,251
2018-12-26,678
2018-12-27,828
2018-12-28,624
2018-12-29,249
2018-12-30,654
2018-12-31,870
2019-01-01,1574
2019-01-02,1657
2019-01-03,1119
2019-01-04,974
2019-01-05,1321
2019-01-06,1702
2019-01-07,1729
2019-01-08,1030
2019-01-09,944
2019-01-10,1435
2019-01-11,1203
2019-01-12,1056
2019-01-13,1306
2019-01-14,1392
2019-01-15,655
2019-01-16,1678
2019-01-17,543
2019-01-18,1555
2019-01-19,1690
2019-01-20,1195
2019-01-21,1670
2019-01-22,1644
2019-01-23,1569
2019-01-24,471
2019-01-25,1508
2019-01-26,1573
2019-01-27,902
2019-01-28,1453
2019-01-29,620
2019-01-30,927
2019-01-31,877
2019-02-01,768
2019-02-02,1020
2019-02-03,787
2019-02-04,386
2019-02-05,985
2019-02-06,1707
2019-02-07,1321
2019-02-08,1273
2019-02-09,889
2019-02-10,1281
2019-02-11,1578
2019-02-12,978
2019-02-13,1606
2019-02-14,1309
2019-02-15,762
2019-02-16,668
2019-02-17,955
2019-02-18,1434
2019-02-19,550
2019-02-20,1381
2019-02-21,1186
2019-02-22,814
2019-02-23,1507
2019-02-24,1188
2019-02-25,1789
2019-02-26,1639
2019-02-27,700
2019-02-28,835
2019-03-01,373
2019-03-02,957
2019-03-03,1263
2019-03-04,400
2019-03-05,1231
2019-03-06,1377
2019-03-07,466
2019-03-08,1290
2019-03-09,1084
2019-03-10,1522
2019-03-11,1585
2019-03-12,860
2019-03-13,496
2019-03-14,1099
2019-03-15,1350
2019-03-16,1677
2019-03-17,854
2019-03-18,1233
2019-03-19,1584
2019-03-20,1272
2019-03-21,1170
2019-03-22,907
2019-03-23,1462
2019-03-24,589
2019-03-25,1245
2019-03-26,1706
2019-03-27,1532
2019-03-28,1569
2019-03-29,474
2019-03-30,1154
2019-03-31,403
2019-04-01,462
2019-04-02,412
2019-04-03,932
2019-04-04,937
2019-04-05,288
2019-04-06,716
2019-04-07,822
2019-04-08,556
2019-04-09,798
2019-04-10,1073
2019-04-11,380
2019-04-12,556
2019-04-13,595
2019-04-14,300
2019-04-15,451
2019-04-16,603
2019-04-17,813
2019-04-18,827
2019-04-19,920
2019-04-20,354
2019-04-21,947
2019-04-22,1113
2019-04-23,1137
2019-04-24,556
2019-04-25,1078
2019-04-26,997
2019-04-27,952
2019-04-28,1179
2019-04-29,1173
2019-04-30,694
2019-05-01,1089
2019-05-02,326
2019-05-03,1092
2019-05-04,987
2019-05-05,557
2019-05-06,746
2019-05-07,1164
2019-05-08,1188
2019-05-09,825
2019-05-10,427
2019-05-11,765
2019-05-12,840
2019-05-13,709
2019-05-14,1065
2019-05-15,1117
2019-05-16,1002
2019-05-17,632
2019-05-18,969
2019-05-19,1197
2019-05-20,1192
2019-05-21,375
2019-05-22,996
2019-05-23,875
2019-05-24,746
2019-05-25,262
2019-05-26,1190
2019-05-27,510
2019-05-28,639
2019-05-29,648
2019-05-30,412
2019-05-31,1164
2019-06-01,1114
2019-06-02,595
2019-06-03,940
2019-06-04,372
2019-06-05,312
2019-06-06,810
2019-06-07,270
2019-06-08,1159
2019-06-09,377
2019-06-10,761
2019-06-11,842
2019-06-12,1104
2019-06-13,620
2019-06-14,604
2019-06-15,902
2019-06-16,955
2019-06-17,1059
2019-06-18,548
2019-06-19,517
2019-06-20,391
2019-06-21,643
2019-06-22,898
2019-06-23,982
2019-06-24,986
2019-06-25,1152
2019-06-26,346
2019-06-27,285
2019-06-28,787
2019-06-29,776
2019-06-30,377
2019-07-01,1671
2019-07-02,2208
2019-07-03,568
2019-07-04,1777
2019-07-05,753
2019-07-06,1594
2019-07-07,519
2019-07-08,2199
2019-07-09,1432
2019-07-10,1155
2019-07-11,1905
2019-07-12,2002
2019-07-13,1552
2019-07-14,1624
2019-07-15,1900
2019-07-16,985
2019-07-17,1906
2019-07-18,1450
2019-07-19,1008
2019-07-20,1996
2019-07-21,2167
2019-07-22,1462
2019-07-23,583
2019-07-24,1495
2019-07-25,1258
2019-07-26,1546
2019-07-27,1752
2019-07-28,510
2019-07-29,1558
2019-07-30,1201
2019-07-31,1887
2019-08-01,2202
2019-08-02,1842
2019-08-03,1140
2019-08-04,1546
2019-08-05,1576
2019-08-06,1836
2019-08-07,1812
2019-08-08,1033
2019-08-09,1773
2019-08-10,832
2019-08-11,1512
2019-08-12,1123
2019-08-13,463
2019-08-14,1684
2019-08-15,1645
2019-08-16,1764
2019-08-17,1992
2019-08-18,2163
2019-08-19,1972
2019-08-20,1009
2019-08-21,2082
2019-08-22,667
2019-08-23,784
2019-08-24,714
2019-08-25,1728
2019-08-26,543
2019-08-27,1689
2019-08-28,1641
2019-08-29,1482
2019-08-30,606
2019-08-31,2133
2019-09-01,1215
2019-09-02,1026
2019-09-03,1056
2019-09-04,1683
2019-09-05,1225
2019-09-06,1162
2019-09-07,1512
2019-09-08,1605
2019-09-09,2019
2019-09-10,1944
2019-09-11,1464
2019-09-12,1519
2019-09-13,573
2019-09-14,2202
2019-09-15,2112
2019-09-16,2101
2019-09-17,1134
2019-09-18,450
2019-09-19,525
2019-09-20,1476
2019-09-21,1524
2019-09-22,1122
2019-09-23,1770
2019-09-24,1180
2019-09-25,499
2019-09-26,591
2019-09-27,2092
2019-09-28,679
2019-09-29,823
2019-09-30,1459
2019-10-01,442
2019-10-02,250
2019-10-03,642
2019-10-04,340
2019-10-05,826
2019-10-06,321
2019-10-07,412
2019-10-08,773
2019-10-09,637
2019-10-10,420
2019-10-11,553
2019-10-12,639
2019-10-13,730
2019-10-14,691
2019-10-15,526
2019-10-16,224
2019-10-17,440
2019-10-18,241
2019-10-19,637
2019-10-20,622
2019-10-21,663
2019-10-22,238
2019-10-23,658
2019-10-24,694
2019-10-25,440
2019-10-26,447
2019-10-27,328
2019-10-28,279
2019-10-29,769
2019-10-30,791
2019-10-31,504
2019-11-01,634
2019-11-02,857
2019-11-03,228
2019-11-04,259
2019-11-05,657
2019-11-06,719
2019-11-07,262
2019-11-08,289
2019-11-09,650
2019-11-10,769
2019-11-11,220
2019-11-12,507
2019-11-13,211
2019-11-14,302
2019-11-15,255
2019-11-16,205
2019-11-17,246
2019-11-18,636
2019-11-19,688
2019-11-20,236
2019-11-21,719
2019-11-22,395
2019-11-23,719
2019-11-24,348
2019-11-25,579
2019-11-26,235
2019-11-27,582
2019-11-28,216
2019-11-29,559
2019-11-30,824
2019-12-01,796
2019-12-02,541
2019-12-03,588
2019-12-04,499
2019-12-05,682
2019-12-06,566
2019-12-07,319
2019-12-08,493
2019-12-09,387
2019-12-10,821
2019-12-11,507
2019-12-12,840
2019-12-13,837
2019-12-14,655
2019-12-15,328
2019-12-16,207
2019-12-17,866
2019-12-18,307
2019-12-19,322
2019-12-20,827
2019-12-21,389
2019-12-22,243
2019-12-23,678
2019-12-24,208
2019-12-25,381
2019-12-26,809
2019-12-27,661
2019-12-28,184
2019-12-29,554
2019-12-30,610
2019-12-31,361
2020-01-01,1125
2020-01-02,426
2020-01-03,1230
2020-01-04,990
2020-01-05,927
2020-01-06,392
2020-01-07,452
2020-01-08,796
2020-01-09,1158
2020-01-10,990
2020-01-11,1197
2020-01-12,1418
2020-01-13,1596
2020-01-14,1591
2020-01-15,1461
2020-01-16,1258
2020-01-17,794
2020-01-18,1326
2020-01-19,1245
2020-01-20,1605
2020-01-21,940
2020-01-22,392
2020-01-23,1215
2020-01-24,1634
2020-01-25,462
2020-01-26,510
2020-01-27,1333
2020-01-28,1003
2020-01-29,532
2020-01-30,388
2020-01-31,439
2020-02-01,638
2020-02-02,489
2020-02-03,1762
2020-02-04,492
2020-02-05,632
2020-02-06,492
2020-02-07,399
2020-02-08,1106
2020-02-09,1256
2020-02-10,1072
2020-02-11,868
2020-02-12,1094
2020-02-13,1189
2020-02-14,736
2020-02-15,1411
2020-02-16,1153
2020-02-17,691
2020-02-18,1107
2020-02-19,978
2020-02-20,1370
2020-02-21,778
2020-02-22,1346
2020-02-23,1752
2020-02-24,1269
2020-02-25,1437
2020-02-26,650
2020-02-27,1010
2020-02-28,1635
2020-02-29,633
2020-03-01,1016
2020-03-02,1462
2020-03-03,366
2020-03-04,920
2020-03-05,448
2020-03-06,363
2020-03-07,1134
2020-03-08,500
2020-03-09,1416
2020-03-10,963
2020-03-11,1495
2020-03-12,1047
2020-03-13,591
2020-03-14,1375
2020-03-15,1216
2020-03-16,1618
2020-03-17,566
2020-03-18,750
2020-03-19,1729
2020-03-20,1362
2020-03-21,1227
2020-03-22,628
2020-03-23,997
2020-03-24,494
2020-03-25,526
2020-03-26,1029
2020-03-27,360
2020-03-28,466
2020-03-29,1143
2020-03-30,742
2020-03-31,525
2020-04-01,915
2020-04-02,446
2020-04-03,960
2020-04-04,791
2020-04-05,247
2020-04-06,448
2020-04-07,376
2020-04-08,957
2020-04-09,249
2020-04-10,1192
2020-04-11,496
2020-04-12,502
2020-04-13,867
2020-04-14,860
2020-04-15,968
2020-04-16,1134
2020-04-17,493
2020-04-18,428
2020-04-19,506
2020-04-20,540
2020-04-21,1168
2020-04-22,709
2020-04-23,649
2020-04-24,973
2020-04-25,937
2020-04-26,455
2020-04-27,877
2020-04-28,819
2020-04-29,1190
2020-04-30,243
2020-05-01,920
2020-05-02,301
2020-05-03,698
2020-05-04,344
2020-05-05,720
2020-05-06,1092
2020-05-07,310
2020-05-08,560
2020-05-09,476
2020-05-10,732
2020-05-11,879
2020-05-12,576
2020-05-13,1076
2020-05-14,699
2020-05-15,353
2020-05-16,1033
2020-05-17,771
2020-05-18,355
2020-05-19,1044
2020-05-20,641
2020-05-21,896
2020-05-22,322
2020-05-23,1089
2020-05-24,397
2020-05-25,702
2020-05-26,552
2020-05-27,682
2020-05-28,1070
2020-05-29,621
2020-05-30,977
2020-05-31,575
2020-06-01,364
2020-06-02,679
2020-06-03,1136
2020-06-04,1056
2020-06-05,1036
2020-06-06,1000
2020-06-07,470
2020-06-08,396
2020-06-09,717
2020-06-10,652
2020-06-11,931
2020-06-12,1152
2020-06-13,884
2020-06-14,1185
2020-06-15,891
2020-06-16,421
2020-06-17,412
2020-06-18,997
2020-06-19,251
2020-06-20,1184
2020-06-21,1184
2020-06-22,276
2020-06-23,498
2020-06-24,914
2020-06-25,343
2020-06-26,315
2020-06-27,740
2020-06-28,843
2020-06-29,874
2020-06-30,294
2020-07-01,465
2020-07-02,1756
2020-07-03,1273
2020-07-04,2185
2020-07-05,1516
2020-07-06,483
2020-07-07,1671
2020-07-08,967
2020-07-09,901
2020-07-10,993
2020-07-11,1042
2020-07-12,775
2020-07-13,660
2020-07-14,1885
2020-07-15,1926
2020-07-16,1938
2020-07-17,1690
2020-07-18,1473
2020-07-19,1954
2020-07-20,982
2020-07-21,1960
2020-07-22,2184
2020-07-23,1780
2020-07-24,639
2020-07-25,2143
2020-07-26,1962
2020-07-27,1354
2020-07-28,1969
2020-07-29,525
2020-07-30,2028
2020-07-31,1617
2020-08-01,1669
2020-08-02,1078
2020-08-03,1923
2020-08-04,1686
2020-08-05,1986
2020-08-06,1299
2020-08-07,1005
2020-08-08,1852
2020-08-09,1440
2020-08-10,1902
2020-08-11,2190
2020-08-12,751
2020-08-13,918
2020-08-14,624
2020-08-15,1854
2020-08-16,1311
2020-08-17,814
2020-08-18,1254
2020-08-19,561
2020-08-20,1027
2020-08-21,1161
2020-08-22,1075
2020-08-23,969
2020-08-24,1408
2020-08-25,1857
2020-08-26,1881
2020-08-27,1762
2020-08-28,1593
2020-08-29,1444
2020-08-30,486
2020-08-31,1513
2020-09-01,2226
2020-09-02,714
2020-09-03,876
2020-09-04,543
2020-09-05,1953
2020-09-06,1441
2020-09-07,1447
2020-09-08,682
2020-09-09,2058
2020-09-10,1899
2020-09-11,1722
2020-09-12,2110
2020-09-13,1482
2020-09-14,670
2020-09-15,961
2020-09-16,1162
2020-09-17,2079
2020-09-18,1290
2020-09-19,939
2020-09-20,2196
2020-09-21,1933
2020-09-22,771
2020-09-23,1101
2020-09-24,1876
2020-09-25,1533
2020-09-26,496
2020-09-27,1453
2020-09-28,876
2020-09-29,1092
2020-09-30,877
2020-10-01,880
2020-10-02,805
2020-10-03,190
2020-10-04,640
2020-10-05,533
2020-10-06,898
2020-10-07,785
2020-10-08,295
2020-10-09,480
2020-10-10,772
2020-10-11,861
2020-10-12,247
2020-10-13,747
2020-10-14,678
2020-10-15,734
2020-10-16,212
2020-10-17,659
2020-10-18,646
2020-10-19,276
2020-10-20,231
2020-10-21,212
2020-10-22,798
2020-10-23,679
2020-10-24,367
2020-10-25,634
2020-10-26,445
2020-10-27,376
2020-10-28,826
2020-10-29,636
2020-10-30,526
2020-10-31,824
2020-11-01,783
2020-11-02,237
2020-11-03,846
2020-11-04,840
2020-11-05,865
2020-11-06,667
2020-11-07,474
2020-11-08,450
2020-11-09,278
2020-11-10,288
2020-11-11,460
2020-11-12,725
2020-11-13,620
2020-11-14,673
2020-11-15,745
2020-11-16,183
2020-11-17,377
2020-11-18,644
2020-11-19,270
2020-11-20,844
2020-11-21,267
2020-11-22,728
2020-11-23,599
2020-11-24,228
2020-11-25,487
2020-11-26,668
2020-11-27,604
2020-11-28,627
2020-11-29,793
2020-11-30,603
2020-12-01,462
2020-12-02,865
2020-12-03,417
2020-12-04,336
2020-12-05,662
2020-12-06,739
2020-12-07,722
2020-12-08,825
2020-12-09,743
2020-12-10,691
2020-12-11,535
2020-12-12,607
2020-12-13,888
2020-12-14,558
2020-12-15,214
2020-12-16,256
2020-12-17,621
2020-12-18,612
2020-12-19,862
2020-12-20,495
2020-12-21,492
2020-12-22,510
2020-12-23,321
2020-12-24,475
2020-12-25,181
2020-12-26,579
2020-12-27,444
2020-12-28,196
2020-12-29,859
2020-12-30,545
2020-12-31,662
2021-01-01,448
2021-01-02,1364
2021-01-03,1762
2021-01-04,512
2021-01-05,409
2021-01-06,408
2021-01-07,1479
2021-01-08,399
2021-01-09,1608
2021-01-10,1771
2021-01-11,1556
2021-01-12,1064
2021-01-13,769
2021-01-14,391
2021-01-15,1134
2021-01-16,1236
2021-01-17,560
2021-01-18,1090
2021-01-19,680
2021-01-20,1344
2021-01-21,904
2021-01-22,1446
2021-01-23,1465
2021-01-24,1536
2021-01-25,1201
2021-01-26,1119
2021-01-27,514
2021-01-28,1582
2021-01-29,1341
2021-01-30,1190
2021-01-31,1311
2021-02-01,393
2021-02-02,537
2021-02-03,372
2021-02-04,1170
2021-02-05,1723
2021-02-06,583
2021-02-07,1327
2021-02-08,1251
2021-02-09,476
2021-02-10,424
2021-02-11,1106
2021-02-12,1155
2021-02-13,1268
2021-02-14,846
2021-02-15,441
2021-02-16,1260
2021-02-17,1765
2021-02-18,1508
2021-02-19,796
2021-02-20,937
2021-02-21,600
2021-02-22,543
2021-02-23,446
2021-02-24,1214
2021-02-25,714
2021-02-26,1608
2021-02-27,432
2021-02-28,1485
2021-03-01,409
2021-03-02,388
2021-03-03,1634
2021-03-04,516
2021-03-05,488
2021-03-06,565
2021-03-07,481
2021-03-08,1398
2021-03-09,987
2021-03-10,688
2021-03-11,1640
2021-03-12,1339
2021-03-13,1507
2021-03-14,1608
2021-03-15,754
2021-03-16,373
2021-03-17,618
2021-03-18,765
2021-03-19,1152
2021-03-20,1684
2021-03-21,807
2021-03-22,1530
2021-03-23,1210
2021-03-24,918
2021-03-25,1694
2021-03-26,945
2021-03-27,415
2021-03-28,1292
2021-03-29,1606
2021-03-30,1212
2021-03-31,840
2021-04-01,1024
2021-04-02,1127
2021-04-03,439
2021-04-04,552
2021-04-05,507
2021-04-06,742
2021-04-07,348
2021-04-08,945
2021-04-09,789
2021-04-10,900
2021-04-11,820
2021-04-12,714
2021-04-13,1031
2021-04-14,536
2021-04-15,987
2021-04-16,1035
2021-04-17,560
2021-04-18,731
2021-04-19,1185
2021-04-20,1180
2021-04-21,1035
2021-04-22,735
2021-04-23,389
2021-04-24,1136
2021-04-25,344
2021-04-26,883
2021-04-27,1195
2021-04-28,988
2021-04-29,1028
2021-04-30,385
2021-05-01,1025
2021-05-02,530
2021-05-03,270
2021-05-04,636
2021-05-05,1024
2021-05-06,976
2021-05-07,816
2021-05-08,1187
2021-05-09,252
2021-05-10,633
2021-05-11,1144
2021-05-12,954
2021-05-13,488
2021-05-14,830
2021-05-15,1194
2021-05-16,676
2021-05-17,570
2021-05-18,440
2021-05-19,846
2021-05-20,1171
2021-05-21,1089
2021-05-22,890
2021-05-23,262
2021-05-24,1005
2021-05-25,620
2021-05-26,493
2021-05-27,435
2021-05-28,837
2021-05-29,796
2021-05-30,456
2021-05-31,540
2021-06-01,452
2021-06-02,980
2021-06-03,976
2021-06-04,511
2021-06-05,550
2021-06-06,700
2021-06-07,241
2021-06-08,1172
2021-06-09,540
2021-06-10,498
2021-06-11,356
2021-06-12,473
2021-06-13,584
2021-06-14,803
2021-06-15,998
2021-06-16,707
2021-06-17,558
2021-06-18,892
2021-06-19,1010
2021-06-20,1170
2021-06-21,388
2021-06-22,288
2021-06-23,990
2021-06-24,807
2021-06-25,884
2021-06-26,248
2021-06-27,1108
2021-06-28,420
2021-06-29,1180
2021-06-30,690
2021-07-01,1606
2021-07-02,1776
2021-07-03,2145
2021-07-04,787
2021-07-05,1686
2021-07-06,775
2021-07-07,1854
2021-07-08,1578
2021-07-09,1207
2021-07-10,837
2021-07-11,529
2021-07-12,2055
2021-07-13,1539
2021-07-14,1482
2021-07-15,2133
2021-07-16,2014
2021-07-17,1077
2021-07-18,1483
2021-07-19,1723
2021-07-20,541
2021-07-21,2202
2021-07-22,772
2021-07-23,453
2021-07-24,688
2021-07-25,1620
2021-07-26,2164
2021-07-27,1788
2021-07-28,2118
2021-07-29,942
2021-07-30,1318
2021-07-31,1876
2021-08-01,1401
2021-08-02,1930
2021-08-03,1830
2021-08-04,1555
2021-08-05,703
2021-08-06,1230
2021-08-07,508
2021-08-08,1881
2021-08-09,1924
2021-08-10,2170
2021-08-11,1911
2021-08-12,505
2021-08-13,940
2021-08-14,2248
2021-08-15,1819
2021-08-16,1129
2021-08-17,504
2021-08-18,1908
2021-08-19,1642
2021-08-20,1908
2021-08-21,1338
2021-08-22,2155
2021-08-23,2044
2021-08-24,784
2021-08-25,925
2021-08-26,972
2021-08-27,621
2021-08-28,1495
2021-08-29,2044
2021-08-30,508
2021-08-31,772
2021-09-01,2205
2021-09-02,952
2021-09-03,2236
2021-09-04,586
2021-09-05,978
2021-09-06,1305
2021-09-07,1672
2021-09-08,1620
2021-09-09,993
2021-09-10,1284
2021-09-11,2239
2021-09-12,982
2021-09-13,735
2021-09-14,1081
2021-09-15,1498
2021-09-16,459
2021-09-17,648
2021-09-18,1284
2021-09-19,1687
2021-09-20,1590
2021-09-21,2031
2021-09-22,1251
2021-09-23,1087
2021-09-24,1456
2021-09-25,993
2021-09-26,571
2021-09-27,982
2021-09-28,1332
2021-09-29,891
2021-09-30,2053
2021-10-01,861
2021-10-02,189
2021-10-03,395
2021-10-04,699
2021-10-05,599
2021-10-06,448
2021-10-07,693
2021-10-08,398
2021-10-09,584
2021-10-10,784
2021-10-11,459
2021-10-12,427
2021-10-13,531
2021-10-14,775
2021-10-15,522
2021-10-16,380
2021-10-17,201
2021-10-18,772
2021-10-19,346
2021-10-20,729
2021-10-21,469
2021-10-22,618
2021-10-23,294
2021-10-24,804
2021-10-25,493
2021-10-26,730
2021-10-27,420
2021-10-28,711
2021-10-29,602
2021-10-30,192
2021-10-31,463
2021-11-01,865
2021-11-02,305
2021-11-03,363
2021-11-04,601
2021-11-05,591
2021-11-06,350
2021-11-07,609
2021-11-08,637
2021-11-09,748
2021-11-10,408
2021-11-11,455
2021-11-12,798
2021-11-13,196
2021-11-14,723
2021-11-15,813
2021-11-16,706
2021-11-17,226
2021-11-18,747
2021-11-19,454
2021-11-20,521
2021-11-21,622
2021-11-22,489
2021-11-23,853
2021-11-24,417
2021-11-25,202
2021-11-26,711
2021-11-27,657
2021-11-28,273
2021-11-29,838
2021-11-30,709
2021-12-01,871
2021-12-02,763
2021-12-03,844
2021-12-04,807
2021-12-05,688
2021-12-06,628
2021-12-07,772
2021-12-08,192
2021-12-09,361
2021-12-10,700
2021-12-11,229
2021-12-12,521
2021-12-13,739
2021-12-14,891
2021-12-15,891
2021-12-16,784
2021-12-17,655
2021-12-18,654
2021-12-19,474
2021-12-20,304
2021-12-21,829
2021-12-22,437
2021-12-23,770
2021-12-24,491
2021-12-25,534
2021-12-26,810
2021-12-27,298
2021-12-28,411
2021-12-29,388
2021-12-30,755
2021-12-31,595
2022-01-01,812
2022-01-02,1437
2022-01-03,1458
2022-01-04,991
2022-01-05,1771
2022-01-06,1239
2022-01-07,606
2022-01-08,904
2022-01-09,984
2022-01-10,1579
2022-01-11,1506
2022-01-12,1230
2022-01-13,1575
2022-01-14,960
2022-01-15,499
2022-01-16,822
2022-01-17,1059
2022-01-18,832
2022-01-19,1664
2022-01-20,1224
2022-01-21,445
2022-01-22,687
2022-01-23,764
2022-01-24,1087
2022-01-25,558
2022-01-26,372
2022-01-27,1233
2022-01-28,1320
2022-01-29,481
2022-01-30,1293
